"regcode","date","inc064","inc65","inc"
1,2015-01-01,5.68386071169009,3.15,4.98
1,2015-01-02,5.68386071169009,3.15,4.98
1,2015-01-03,5.68386071169009,3.15,4.98
1,2015-01-04,5.68386071169009,3.15,4.98
1,2015-01-05,7.63884618687335,3.77,6.61
1,2015-01-06,7.63884618687335,3.77,6.61
1,2015-01-07,7.63884618687335,3.77,6.61
1,2015-01-08,7.63884618687335,3.77,6.61
1,2015-01-09,7.63884618687335,3.77,6.61
1,2015-01-10,7.63884618687335,3.77,6.61
1,2015-01-11,7.63884618687335,3.77,6.61
1,2015-01-12,10.2299634751901,3.96,8.62
1,2015-01-13,10.2299634751901,3.96,8.62
1,2015-01-14,10.2299634751901,3.96,8.62
1,2015-01-15,10.2299634751901,3.96,8.62
1,2015-01-16,10.2299634751901,3.96,8.62
1,2015-01-17,10.2299634751901,3.96,8.62
1,2015-01-18,10.2299634751901,3.96,8.62
1,2015-01-19,15.4687253493873,4.24,12.49
1,2015-01-20,15.4687253493873,4.24,12.49
1,2015-01-21,15.4687253493873,4.24,12.49
1,2015-01-22,15.4687253493873,4.24,12.49
1,2015-01-23,15.4687253493873,4.24,12.49
1,2015-01-24,15.4687253493873,4.24,12.49
1,2015-01-25,15.4687253493873,4.24,12.49
1,2015-01-26,18.200346050278,5.44,14.85
1,2015-01-27,18.200346050278,5.44,14.85
1,2015-01-28,18.200346050278,5.44,14.85
1,2015-01-29,18.200346050278,5.44,14.85
1,2015-01-30,18.200346050278,5.44,14.85
1,2015-01-31,18.200346050278,5.44,14.85
1,2015-02-01,18.200346050278,5.44,14.85
1,2015-02-02,18.1505385377788,4.98,14.49
1,2015-02-03,18.1505385377788,4.98,14.49
1,2015-02-04,18.1505385377788,4.98,14.49
1,2015-02-05,18.1505385377788,4.98,14.49
1,2015-02-06,18.1505385377788,4.98,14.49
1,2015-02-07,18.1505385377788,4.98,14.49
1,2015-02-08,18.1505385377788,4.98,14.49
1,2015-02-09,13.6927378584002,5.92,11.59
1,2015-02-10,13.6927378584002,5.92,11.59
1,2015-02-11,13.6927378584002,5.92,11.59
1,2015-02-12,13.6927378584002,5.92,11.59
1,2015-02-13,13.6927378584002,5.92,11.59
1,2015-02-14,13.6927378584002,5.92,11.59
1,2015-02-15,13.6927378584002,5.92,11.59
1,2015-02-16,11.3487951056679,3.88,9.34
1,2015-02-17,11.3487951056679,3.88,9.34
1,2015-02-18,11.3487951056679,3.88,9.34
1,2015-02-19,11.3487951056679,3.88,9.34
1,2015-02-20,11.3487951056679,3.88,9.34
1,2015-02-21,11.3487951056679,3.88,9.34
1,2015-02-22,11.3487951056679,3.88,9.34
1,2015-02-23,7.22458216905531,2.61,5.95
1,2015-02-24,7.22458216905531,2.61,5.95
1,2015-02-25,7.22458216905531,2.61,5.95
1,2015-02-26,7.22458216905531,2.61,5.95
1,2015-02-27,7.22458216905531,2.61,5.95
1,2015-02-28,7.22458216905531,2.61,5.95
1,2015-03-01,7.22458216905531,2.61,5.95
1,2015-03-02,5.53995024121632,2.17,4.63
1,2015-03-03,5.53995024121632,2.17,4.63
1,2015-03-04,5.53995024121632,2.17,4.63
1,2015-03-05,5.53995024121632,2.17,4.63
1,2015-03-06,5.53995024121632,2.17,4.63
1,2015-03-07,5.53995024121632,2.17,4.63
1,2015-03-08,5.53995024121632,2.17,4.63
1,2015-03-09,5.73010753048211,1.29,4.59
1,2015-03-10,5.73010753048211,1.29,4.59
1,2015-03-11,5.73010753048211,1.29,4.59
1,2015-03-12,5.73010753048211,1.29,4.59
1,2015-03-13,5.73010753048211,1.29,4.59
1,2015-03-14,5.73010753048211,1.29,4.59
1,2015-03-15,5.73010753048211,1.29,4.59
1,2015-03-16,5.64635229494877,2.47,4.81
1,2015-03-17,5.64635229494877,2.47,4.81
1,2015-03-18,5.64635229494877,2.47,4.81
1,2015-03-19,5.64635229494877,2.47,4.81
1,2015-03-20,5.64635229494877,2.47,4.81
1,2015-03-21,5.64635229494877,2.47,4.81
1,2015-03-22,5.64635229494877,2.47,4.81
1,2015-03-23,4.94903698046146,1.8,4.1
1,2015-03-24,4.94903698046146,1.8,4.1
1,2015-03-25,4.94903698046146,1.8,4.1
1,2015-03-26,4.94903698046146,1.8,4.1
1,2015-03-27,4.94903698046146,1.8,4.1
1,2015-03-28,4.94903698046146,1.8,4.1
1,2015-03-29,4.94903698046146,1.8,4.1
1,2015-03-30,4.00457156683579,1.29,3.28
1,2015-03-31,4.00457156683579,1.29,3.28
1,2015-04-01,4.00457156683579,1.29,3.28
1,2015-04-02,4.00457156683579,1.29,3.28
1,2015-04-03,4.00457156683579,1.29,3.28
1,2015-04-04,4.00457156683579,1.29,3.28
1,2015-04-05,4.00457156683579,1.29,3.28
1,2015-04-06,2.7789142475485,1.33,2.39
1,2015-04-07,2.7789142475485,1.33,2.39
1,2015-04-08,2.7789142475485,1.33,2.39
1,2015-04-09,2.7789142475485,1.33,2.39
1,2015-04-10,2.7789142475485,1.33,2.39
1,2015-04-11,2.7789142475485,1.33,2.39
1,2015-04-12,2.7789142475485,1.33,2.39
1,2015-04-13,1.59551764914225,0.23,1.23
1,2015-04-14,1.59551764914225,0.23,1.23
1,2015-04-15,1.59551764914225,0.23,1.23
1,2015-04-16,1.59551764914225,0.23,1.23
1,2015-04-17,1.59551764914225,0.23,1.23
1,2015-04-18,1.59551764914225,0.23,1.23
1,2015-04-19,1.59551764914225,0.23,1.23
1,2015-04-20,2.3882627097565,0.61,1.91
1,2015-04-21,2.3882627097565,0.61,1.91
1,2015-04-22,2.3882627097565,0.61,1.91
1,2015-04-23,2.3882627097565,0.61,1.91
1,2015-04-24,2.3882627097565,0.61,1.91
1,2015-04-25,2.3882627097565,0.61,1.91
1,2015-04-26,2.3882627097565,0.61,1.91
1,2015-04-27,0,0,0
1,2015-04-28,0,0,0
1,2015-04-29,0,0,0
1,2015-04-30,0,0,0
1,2015-05-01,0,0,0
1,2015-05-02,0,0,0
1,2015-05-03,0,0,0
1,2015-05-04,0,0,0
1,2015-05-05,0,0,0
1,2015-05-06,0,0,0
1,2015-05-07,0,0,0
1,2015-05-08,0,0,0
1,2015-05-09,0,0,0
1,2015-05-10,0,0,0
1,2015-05-11,0,0,0
1,2015-05-12,0,0,0
1,2015-05-13,0,0,0
1,2015-05-14,0,0,0
1,2015-05-15,0,0,0
1,2015-05-16,0,0,0
1,2015-05-17,0,0,0
1,2015-05-18,0,0,0
1,2015-05-19,0,0,0
1,2015-05-20,0,0,0
1,2015-05-21,0,0,0
1,2015-05-22,0,0,0
1,2015-05-23,0,0,0
1,2015-05-24,0,0,0
1,2015-05-25,0,0,0
1,2015-05-26,0,0,0
1,2015-05-27,0,0,0
1,2015-05-28,0,0,0
1,2015-05-29,0,0,0
1,2015-05-30,0,0,0
1,2015-05-31,0,0,0
1,2015-06-01,0,0,0
1,2015-06-02,0,0,0
1,2015-06-03,0,0,0
1,2015-06-04,0,0,0
1,2015-06-05,0,0,0
1,2015-06-06,0,0,0
1,2015-06-07,0,0,0
1,2015-06-08,0,0,0
1,2015-06-09,0,0,0
1,2015-06-10,0,0,0
1,2015-06-11,0,0,0
1,2015-06-12,0,0,0
1,2015-06-13,0,0,0
1,2015-06-14,0,0,0
1,2015-06-15,0,0,0
1,2015-06-16,0,0,0
1,2015-06-17,0,0,0
1,2015-06-18,0,0,0
1,2015-06-19,0,0,0
1,2015-06-20,0,0,0
1,2015-06-21,0,0,0
1,2015-06-22,0,0,0
1,2015-06-23,0,0,0
1,2015-06-24,0,0,0
1,2015-06-25,0,0,0
1,2015-06-26,0,0,0
1,2015-06-27,0,0,0
1,2015-06-28,0,0,0
1,2015-06-29,0,0,0
1,2015-06-30,0,0,0
1,2015-07-01,0,0,0
1,2015-07-02,0,0,0
1,2015-07-03,0,0,0
1,2015-07-04,0,0,0
1,2015-07-05,0,0,0
1,2015-07-06,0,0,0
1,2015-07-07,0,0,0
1,2015-07-08,0,0,0
1,2015-07-09,0,0,0
1,2015-07-10,0,0,0
1,2015-07-11,0,0,0
1,2015-07-12,0,0,0
1,2015-07-13,0,0,0
1,2015-07-14,0,0,0
1,2015-07-15,0,0,0
1,2015-07-16,0,0,0
1,2015-07-17,0,0,0
1,2015-07-18,0,0,0
1,2015-07-19,0,0,0
1,2015-07-20,0,0,0
1,2015-07-21,0,0,0
1,2015-07-22,0,0,0
1,2015-07-23,0,0,0
1,2015-07-24,0,0,0
1,2015-07-25,0,0,0
1,2015-07-26,0,0,0
1,2015-07-27,0,0,0
1,2015-07-28,0,0,0
1,2015-07-29,0,0,0
1,2015-07-30,0,0,0
1,2015-07-31,0,0,0
1,2015-08-01,0,0,0
1,2015-08-02,0,0,0
1,2015-08-03,0,0,0
1,2015-08-04,0,0,0
1,2015-08-05,0,0,0
1,2015-08-06,0,0,0
1,2015-08-07,0,0,0
1,2015-08-08,0,0,0
1,2015-08-09,0,0,0
1,2015-08-10,0,0,0
1,2015-08-11,0,0,0
1,2015-08-12,0,0,0
1,2015-08-13,0,0,0
1,2015-08-14,0,0,0
1,2015-08-15,0,0,0
1,2015-08-16,0,0,0
1,2015-08-17,0,0,0
1,2015-08-18,0,0,0
1,2015-08-19,0,0,0
1,2015-08-20,0,0,0
1,2015-08-21,0,0,0
1,2015-08-22,0,0,0
1,2015-08-23,0,0,0
1,2015-08-24,0,0,0
1,2015-08-25,0,0,0
1,2015-08-26,0,0,0
1,2015-08-27,0,0,0
1,2015-08-28,0,0,0
1,2015-08-29,0,0,0
1,2015-08-30,0,0,0
1,2015-08-31,0,0,0
1,2015-09-01,0,0,0
1,2015-09-02,0,0,0
1,2015-09-03,0,0,0
1,2015-09-04,0,0,0
1,2015-09-05,0,0,0
1,2015-09-06,0,0,0
1,2015-09-07,0,0,0
1,2015-09-08,0,0,0
1,2015-09-09,0,0,0
1,2015-09-10,0,0,0
1,2015-09-11,0,0,0
1,2015-09-12,0,0,0
1,2015-09-13,0,0,0
1,2015-09-14,0,0,0
1,2015-09-15,0,0,0
1,2015-09-16,0,0,0
1,2015-09-17,0,0,0
1,2015-09-18,0,0,0
1,2015-09-19,0,0,0
1,2015-09-20,0,0,0
1,2015-09-21,0,0,0
1,2015-09-22,0,0,0
1,2015-09-23,0,0,0
1,2015-09-24,0,0,0
1,2015-09-25,0,0,0
1,2015-09-26,0,0,0
1,2015-09-27,0,0,0
1,2015-09-28,0,0,0
1,2015-09-29,0,0,0
1,2015-09-30,0,0,0
1,2015-10-01,0,0,0
1,2015-10-02,0,0,0
1,2015-10-03,0,0,0
1,2015-10-04,0,0,0
1,2015-10-05,0,0,0
1,2015-10-06,0,0,0
1,2015-10-07,0,0,0
1,2015-10-08,0,0,0
1,2015-10-09,0,0,0
1,2015-10-10,0,0,0
1,2015-10-11,0,0,0
1,2015-10-12,0,0,0
1,2015-10-13,0,0,0
1,2015-10-14,0,0,0
1,2015-10-15,0,0,0
1,2015-10-16,0,0,0
1,2015-10-17,0,0,0
1,2015-10-18,0,0,0
1,2015-10-19,0,0,0
1,2015-10-20,0,0,0
1,2015-10-21,0,0,0
1,2015-10-22,0,0,0
1,2015-10-23,0,0,0
1,2015-10-24,0,0,0
1,2015-10-25,0,0,0
1,2015-10-26,2.43885229577253,0.31,1.88
1,2015-10-27,2.43885229577253,0.31,1.88
1,2015-10-28,2.43885229577253,0.31,1.88
1,2015-10-29,2.43885229577253,0.31,1.88
1,2015-10-30,2.43885229577253,0.31,1.88
1,2015-10-31,2.43885229577253,0.31,1.88
1,2015-11-01,2.43885229577253,0.31,1.88
1,2015-11-02,1.00874625826766,0.88,0.97
1,2015-11-03,1.00874625826766,0.88,0.97
1,2015-11-04,1.00874625826766,0.88,0.97
1,2015-11-05,1.00874625826766,0.88,0.97
1,2015-11-06,1.00874625826766,0.88,0.97
1,2015-11-07,1.00874625826766,0.88,0.97
1,2015-11-08,1.00874625826766,0.88,0.97
1,2015-11-09,1.8237589225895,0.35,1.43
1,2015-11-10,1.8237589225895,0.35,1.43
1,2015-11-11,1.8237589225895,0.35,1.43
1,2015-11-12,1.8237589225895,0.35,1.43
1,2015-11-13,1.8237589225895,0.35,1.43
1,2015-11-14,1.8237589225895,0.35,1.43
1,2015-11-15,1.8237589225895,0.35,1.43
1,2015-11-16,2.39012391158741,0.48,1.89
1,2015-11-17,2.39012391158741,0.48,1.89
1,2015-11-18,2.39012391158741,0.48,1.89
1,2015-11-19,2.39012391158741,0.48,1.89
1,2015-11-20,2.39012391158741,0.48,1.89
1,2015-11-21,2.39012391158741,0.48,1.89
1,2015-11-22,2.39012391158741,0.48,1.89
1,2015-11-23,2.30883337966015,0.65,1.89
1,2015-11-24,2.30883337966015,0.65,1.89
1,2015-11-25,2.30883337966015,0.65,1.89
1,2015-11-26,2.30883337966015,0.65,1.89
1,2015-11-27,2.30883337966015,0.65,1.89
1,2015-11-28,2.30883337966015,0.65,1.89
1,2015-11-29,2.30883337966015,0.65,1.89
1,2015-11-30,2.0368094036797,0.77,1.73
1,2015-12-01,2.0368094036797,0.77,1.73
1,2015-12-02,2.0368094036797,0.77,1.73
1,2015-12-03,2.0368094036797,0.77,1.73
1,2015-12-04,2.0368094036797,0.77,1.73
1,2015-12-05,2.0368094036797,0.77,1.73
1,2015-12-06,2.0368094036797,0.77,1.73
1,2015-12-07,2.78469393017379,1.32,2.42
1,2015-12-08,2.78469393017379,1.32,2.42
1,2015-12-09,2.78469393017379,1.32,2.42
1,2015-12-10,2.78469393017379,1.32,2.42
1,2015-12-11,2.78469393017379,1.32,2.42
1,2015-12-12,2.78469393017379,1.32,2.42
1,2015-12-13,2.78469393017379,1.32,2.42
1,2015-12-14,4.28025905987083,2.1,3.73
1,2015-12-15,4.28025905987083,2.1,3.73
1,2015-12-16,4.28025905987083,2.1,3.73
1,2015-12-17,4.28025905987083,2.1,3.73
1,2015-12-18,4.28025905987083,2.1,3.73
1,2015-12-19,4.28025905987083,2.1,3.73
1,2015-12-20,4.28025905987083,2.1,3.73
1,2015-12-21,3.32991340904422,1.82,2.95
1,2015-12-22,3.32991340904422,1.82,2.95
1,2015-12-23,3.32991340904422,1.82,2.95
1,2015-12-24,3.32991340904422,1.82,2.95
1,2015-12-25,3.32991340904422,1.82,2.95
1,2015-12-26,3.32991340904422,1.82,2.95
1,2015-12-27,3.32991340904422,1.82,2.95
1,2015-12-28,2.98184793213801,1.64,2.64
1,2015-12-29,2.98184793213801,1.64,2.64
1,2015-12-30,2.98184793213801,1.64,2.64
1,2015-12-31,2.98184793213801,1.64,2.64
1,2016-01-01,2.98184793213801,1.64,2.64
1,2016-01-02,2.98184793213801,1.64,2.64
1,2016-01-03,2.98184793213801,1.64,2.64
1,2016-01-04,4.49082453184246,1.89,3.88
1,2016-01-05,4.49082453184246,1.89,3.88
1,2016-01-06,4.49082453184246,1.89,3.88
1,2016-01-07,4.49082453184246,1.89,3.88
1,2016-01-08,4.49082453184246,1.89,3.88
1,2016-01-09,4.49082453184246,1.89,3.88
1,2016-01-10,4.49082453184246,1.89,3.88
1,2016-01-11,6.30870036903238,1.95,5.19
1,2016-01-12,6.30870036903238,1.95,5.19
1,2016-01-13,6.30870036903238,1.95,5.19
1,2016-01-14,6.30870036903238,1.95,5.19
1,2016-01-15,6.30870036903238,1.95,5.19
1,2016-01-16,6.30870036903238,1.95,5.19
1,2016-01-17,6.30870036903238,1.95,5.19
1,2016-01-18,8.90878198364576,2.14,7.14
1,2016-01-19,8.90878198364576,2.14,7.14
1,2016-01-20,8.90878198364576,2.14,7.14
1,2016-01-21,8.90878198364576,2.14,7.14
1,2016-01-22,8.90878198364576,2.14,7.14
1,2016-01-23,8.90878198364576,2.14,7.14
1,2016-01-24,8.90878198364576,2.14,7.14
1,2016-01-25,10.7981396722273,2.32,8.64
1,2016-01-26,10.7981396722273,2.32,8.64
1,2016-01-27,10.7981396722273,2.32,8.64
1,2016-01-28,10.7981396722273,2.32,8.64
1,2016-01-29,10.7981396722273,2.32,8.64
1,2016-01-30,10.7981396722273,2.32,8.64
1,2016-01-31,10.7981396722273,2.32,8.64
1,2016-02-01,10.7981396722273,2.32,8.64
1,2016-02-02,10.7981396722273,2.32,8.64
1,2016-02-03,10.7981396722273,2.32,8.64
1,2016-02-04,10.7981396722273,2.32,8.64
1,2016-02-05,10.7981396722273,2.32,8.64
1,2016-02-06,10.7981396722273,2.32,8.64
1,2016-02-07,10.7981396722273,2.32,8.64
1,2016-02-08,12.4497969421587,2.86,9.95
1,2016-02-09,12.4497969421587,2.86,9.95
1,2016-02-10,12.4497969421587,2.86,9.95
1,2016-02-11,12.4497969421587,2.86,9.95
1,2016-02-12,12.4497969421587,2.86,9.95
1,2016-02-13,12.4497969421587,2.86,9.95
1,2016-02-14,12.4497969421587,2.86,9.95
1,2016-02-15,11.8454365045108,2.64,9.52
1,2016-02-16,11.8454365045108,2.64,9.52
1,2016-02-17,11.8454365045108,2.64,9.52
1,2016-02-18,11.8454365045108,2.64,9.52
1,2016-02-19,11.8454365045108,2.64,9.52
1,2016-02-20,11.8454365045108,2.64,9.52
1,2016-02-21,11.8454365045108,2.64,9.52
1,2016-02-22,9.36039536628834,2.93,7.66
1,2016-02-23,9.36039536628834,2.93,7.66
1,2016-02-24,9.36039536628834,2.93,7.66
1,2016-02-25,9.36039536628834,2.93,7.66
1,2016-02-26,9.36039536628834,2.93,7.66
1,2016-02-27,9.36039536628834,2.93,7.66
1,2016-02-28,9.36039536628834,2.93,7.66
1,2016-02-29,8.57855530293794,2.92,7.07
1,2016-03-01,8.57855530293794,2.92,7.07
1,2016-03-02,8.57855530293794,2.92,7.07
1,2016-03-03,8.57855530293794,2.92,7.07
1,2016-03-04,8.57855530293794,2.92,7.07
1,2016-03-05,8.57855530293794,2.92,7.07
1,2016-03-06,8.57855530293794,2.92,7.07
1,2016-03-07,7.22234207463678,3.1,6.13
1,2016-03-08,7.22234207463678,3.1,6.13
1,2016-03-09,7.22234207463678,3.1,6.13
1,2016-03-10,7.22234207463678,3.1,6.13
1,2016-03-11,7.22234207463678,3.1,6.13
1,2016-03-12,7.22234207463678,3.1,6.13
1,2016-03-13,7.22234207463678,3.1,6.13
1,2016-03-14,5.36792814693385,1.32,4.34
1,2016-03-15,5.36792814693385,1.32,4.34
1,2016-03-16,5.36792814693385,1.32,4.34
1,2016-03-17,5.36792814693385,1.32,4.34
1,2016-03-18,5.36792814693385,1.32,4.34
1,2016-03-19,5.36792814693385,1.32,4.34
1,2016-03-20,5.36792814693385,1.32,4.34
1,2016-03-21,5.0703829154248,2,4.31
1,2016-03-22,5.0703829154248,2,4.31
1,2016-03-23,5.0703829154248,2,4.31
1,2016-03-24,5.0703829154248,2,4.31
1,2016-03-25,5.0703829154248,2,4.31
1,2016-03-26,5.0703829154248,2,4.31
1,2016-03-27,5.0703829154248,2,4.31
1,2016-03-28,2.71784489099154,0.9,2.22
1,2016-03-29,2.71784489099154,0.9,2.22
1,2016-03-30,2.71784489099154,0.9,2.22
1,2016-03-31,2.71784489099154,0.9,2.22
1,2016-04-01,2.71784489099154,0.9,2.22
1,2016-04-02,2.71784489099154,0.9,2.22
1,2016-04-03,2.71784489099154,0.9,2.22
1,2016-04-04,2.90627563656765,0.92,2.39
1,2016-04-05,2.90627563656765,0.92,2.39
1,2016-04-06,2.90627563656765,0.92,2.39
1,2016-04-07,2.90627563656765,0.92,2.39
1,2016-04-08,2.90627563656765,0.92,2.39
1,2016-04-09,2.90627563656765,0.92,2.39
1,2016-04-10,2.90627563656765,0.92,2.39
1,2016-04-11,2.01893520249645,0.55,1.65
1,2016-04-12,2.01893520249645,0.55,1.65
1,2016-04-13,2.01893520249645,0.55,1.65
1,2016-04-14,2.01893520249645,0.55,1.65
1,2016-04-15,2.01893520249645,0.55,1.65
1,2016-04-16,2.01893520249645,0.55,1.65
1,2016-04-17,2.01893520249645,0.55,1.65
1,2016-04-18,0,0,0
1,2016-04-19,0,0,0
1,2016-04-20,0,0,0
1,2016-04-21,0,0,0
1,2016-04-22,0,0,0
1,2016-04-23,0,0,0
1,2016-04-24,0,0,0
1,2016-04-25,0,0,0
1,2016-04-26,0,0,0
1,2016-04-27,0,0,0
1,2016-04-28,0,0,0
1,2016-04-29,0,0,0
1,2016-04-30,0,0,0
1,2016-05-01,0,0,0
1,2016-05-02,0,0,0
1,2016-05-03,0,0,0
1,2016-05-04,0,0,0
1,2016-05-05,0,0,0
1,2016-05-06,0,0,0
1,2016-05-07,0,0,0
1,2016-05-08,0,0,0
1,2016-05-09,0,0,0
1,2016-05-10,0,0,0
1,2016-05-11,0,0,0
1,2016-05-12,0,0,0
1,2016-05-13,0,0,0
1,2016-05-14,0,0,0
1,2016-05-15,0,0,0
1,2016-05-16,0,0,0
1,2016-05-17,0,0,0
1,2016-05-18,0,0,0
1,2016-05-19,0,0,0
1,2016-05-20,0,0,0
1,2016-05-21,0,0,0
1,2016-05-22,0,0,0
1,2016-05-23,0,0,0
1,2016-05-24,0,0,0
1,2016-05-25,0,0,0
1,2016-05-26,0,0,0
1,2016-05-27,0,0,0
1,2016-05-28,0,0,0
1,2016-05-29,0,0,0
1,2016-05-30,0,0,0
1,2016-05-31,0,0,0
1,2016-06-01,0,0,0
1,2016-06-02,0,0,0
1,2016-06-03,0,0,0
1,2016-06-04,0,0,0
1,2016-06-05,0,0,0
1,2016-06-06,0,0,0
1,2016-06-07,0,0,0
1,2016-06-08,0,0,0
1,2016-06-09,0,0,0
1,2016-06-10,0,0,0
1,2016-06-11,0,0,0
1,2016-06-12,0,0,0
1,2016-06-13,0,0,0
1,2016-06-14,0,0,0
1,2016-06-15,0,0,0
1,2016-06-16,0,0,0
1,2016-06-17,0,0,0
1,2016-06-18,0,0,0
1,2016-06-19,0,0,0
1,2016-06-20,0,0,0
1,2016-06-21,0,0,0
1,2016-06-22,0,0,0
1,2016-06-23,0,0,0
1,2016-06-24,0,0,0
1,2016-06-25,0,0,0
1,2016-06-26,0,0,0
1,2016-06-27,0,0,0
1,2016-06-28,0,0,0
1,2016-06-29,0,0,0
1,2016-06-30,0,0,0
1,2016-07-01,0,0,0
1,2016-07-02,0,0,0
1,2016-07-03,0,0,0
1,2016-07-04,0,0,0
1,2016-07-05,0,0,0
1,2016-07-06,0,0,0
1,2016-07-07,0,0,0
1,2016-07-08,0,0,0
1,2016-07-09,0,0,0
1,2016-07-10,0,0,0
1,2016-07-11,0,0,0
1,2016-07-12,0,0,0
1,2016-07-13,0,0,0
1,2016-07-14,0,0,0
1,2016-07-15,0,0,0
1,2016-07-16,0,0,0
1,2016-07-17,0,0,0
1,2016-07-18,0,0,0
1,2016-07-19,0,0,0
1,2016-07-20,0,0,0
1,2016-07-21,0,0,0
1,2016-07-22,0,0,0
1,2016-07-23,0,0,0
1,2016-07-24,0,0,0
1,2016-07-25,0,0,0
1,2016-07-26,0,0,0
1,2016-07-27,0,0,0
1,2016-07-28,0,0,0
1,2016-07-29,0,0,0
1,2016-07-30,0,0,0
1,2016-07-31,0,0,0
1,2016-08-01,0,0,0
1,2016-08-02,0,0,0
1,2016-08-03,0,0,0
1,2016-08-04,0,0,0
1,2016-08-05,0,0,0
1,2016-08-06,0,0,0
1,2016-08-07,0,0,0
1,2016-08-08,0,0,0
1,2016-08-09,0,0,0
1,2016-08-10,0,0,0
1,2016-08-11,0,0,0
1,2016-08-12,0,0,0
1,2016-08-13,0,0,0
1,2016-08-14,0,0,0
1,2016-08-15,0,0,0
1,2016-08-16,0,0,0
1,2016-08-17,0,0,0
1,2016-08-18,0,0,0
1,2016-08-19,0,0,0
1,2016-08-20,0,0,0
1,2016-08-21,0,0,0
1,2016-08-22,0,0,0
1,2016-08-23,0,0,0
1,2016-08-24,0,0,0
1,2016-08-25,0,0,0
1,2016-08-26,0,0,0
1,2016-08-27,0,0,0
1,2016-08-28,0,0,0
1,2016-08-29,0,0,0
1,2016-08-30,0,0,0
1,2016-08-31,0,0,0
1,2016-09-01,0,0,0
1,2016-09-02,0,0,0
1,2016-09-03,0,0,0
1,2016-09-04,0,0,0
1,2016-09-05,0,0,0
1,2016-09-06,0,0,0
1,2016-09-07,0,0,0
1,2016-09-08,0,0,0
1,2016-09-09,0,0,0
1,2016-09-10,0,0,0
1,2016-09-11,0,0,0
1,2016-09-12,0,0,0
1,2016-09-13,0,0,0
1,2016-09-14,0,0,0
1,2016-09-15,0,0,0
1,2016-09-16,0,0,0
1,2016-09-17,0,0,0
1,2016-09-18,0,0,0
1,2016-09-19,0,0,0
1,2016-09-20,0,0,0
1,2016-09-21,0,0,0
1,2016-09-22,0,0,0
1,2016-09-23,0,0,0
1,2016-09-24,0,0,0
1,2016-09-25,0,0,0
1,2016-09-26,0,0,0
1,2016-09-27,0,0,0
1,2016-09-28,0,0,0
1,2016-09-29,0,0,0
1,2016-09-30,0,0,0
1,2016-10-01,0,0,0
1,2016-10-02,0,0,0
1,2016-10-03,0,0,0
1,2016-10-04,0,0,0
1,2016-10-05,0,0,0
1,2016-10-06,0,0,0
1,2016-10-07,0,0,0
1,2016-10-08,0,0,0
1,2016-10-09,0,0,0
1,2016-10-10,0,0,0
1,2016-10-11,0,0,0
1,2016-10-12,0,0,0
1,2016-10-13,0,0,0
1,2016-10-14,0,0,0
1,2016-10-15,0,0,0
1,2016-10-16,0,0,0
1,2016-10-17,0,0,0
1,2016-10-18,0,0,0
1,2016-10-19,0,0,0
1,2016-10-20,0,0,0
1,2016-10-21,0,0,0
1,2016-10-22,0,0,0
1,2016-10-23,0,0,0
1,2016-10-24,0,0,0
1,2016-10-25,0,0,0
1,2016-10-26,0,0,0
1,2016-10-27,0,0,0
1,2016-10-28,0,0,0
1,2016-10-29,0,0,0
1,2016-10-30,0,0,0
1,2016-10-31,4.69704020178103,1.43,3.82
1,2016-11-01,4.69704020178103,1.43,3.82
1,2016-11-02,4.69704020178103,1.43,3.82
1,2016-11-03,4.69704020178103,1.43,3.82
1,2016-11-04,4.69704020178103,1.43,3.82
1,2016-11-05,4.69704020178103,1.43,3.82
1,2016-11-06,4.69704020178103,1.43,3.82
1,2016-11-07,2.68457330614896,0.78,2.17
1,2016-11-08,2.68457330614896,0.78,2.17
1,2016-11-09,2.68457330614896,0.78,2.17
1,2016-11-10,2.68457330614896,0.78,2.17
1,2016-11-11,2.68457330614896,0.78,2.17
1,2016-11-12,2.68457330614896,0.78,2.17
1,2016-11-13,2.68457330614896,0.78,2.17
1,2016-11-14,4.03826704589609,1.35,3.36
1,2016-11-15,4.03826704589609,1.35,3.36
1,2016-11-16,4.03826704589609,1.35,3.36
1,2016-11-17,4.03826704589609,1.35,3.36
1,2016-11-18,4.03826704589609,1.35,3.36
1,2016-11-19,4.03826704589609,1.35,3.36
1,2016-11-20,4.03826704589609,1.35,3.36
1,2016-11-21,4.18768510868557,1.37,3.45
1,2016-11-22,4.18768510868557,1.37,3.45
1,2016-11-23,4.18768510868557,1.37,3.45
1,2016-11-24,4.18768510868557,1.37,3.45
1,2016-11-25,4.18768510868557,1.37,3.45
1,2016-11-26,4.18768510868557,1.37,3.45
1,2016-11-27,4.18768510868557,1.37,3.45
1,2016-11-28,5.39160143056715,1.43,4.42
1,2016-11-29,5.39160143056715,1.43,4.42
1,2016-11-30,5.39160143056715,1.43,4.42
1,2016-12-01,5.39160143056715,1.43,4.42
1,2016-12-02,5.39160143056715,1.43,4.42
1,2016-12-03,5.39160143056715,1.43,4.42
1,2016-12-04,5.39160143056715,1.43,4.42
1,2016-12-05,5.5618781998286,2.62,4.81
1,2016-12-06,5.5618781998286,2.62,4.81
1,2016-12-07,5.5618781998286,2.62,4.81
1,2016-12-08,5.5618781998286,2.62,4.81
1,2016-12-09,5.5618781998286,2.62,4.81
1,2016-12-10,5.5618781998286,2.62,4.81
1,2016-12-11,5.5618781998286,2.62,4.81
